timeInSec,pedID,posX,posY,curVeloc,absLocalDensity,finalDest
1.05,0,8.0,4.23,1.44,1.0,0
1.05,1,5.94,3.98,1.6,1.0,0
1.05,2,8.01,3.2,0.9,1.0,0
1.05,3,5.84,5.89,1.38,1.0,0
1.05,4,7.57,3.77,1.32,1.0,0
1.05,5,6.9,5.81,1.35,1.0,0
1.58,0,8.0,4.23,1.44,1.0,0
1.58,1,5.94,3.98,1.6,1.0,0
1.58,2,8.01,3.2,0.9,1.0,0
1.58,3,5.84,5.89,1.38,1.0,0
1.58,4,7.57,3.77,1.32,1.0,0
1.58,5,6.9,5.81,1.35,1.0,0
2.11,0,8.76,4.45,0.75,1.0,0
2.11,1,6.69,4.37,0.8,1.0,0
2.11,2,7.86,3.32,0.19,1.0,0
2.11,3,6.11,5.17,0.73,1.0,0
2.11,4,7.98,4.39,0.71,1.0,0
2.11,5,7.4,5.23,0.72,1.0,0
2.63,0,9.54,4.54,1.5,1.0,0
2.63,1,7.53,4.36,1.6,1.0,0
2.63,2,7.87,3.92,1.12,1.0,0
2.63,3,6.73,4.71,1.46,1.0,0
2.63,4,8.72,4.47,1.42,1.0,0
2.63,5,7.81,4.84,1.08,1.0,0
3.16,0,10.33,4.59,1.5,1.0,0
3.16,1,7.53,4.36,0.0,1.0,0
3.16,2,7.87,3.92,0.0,1.0,0
3.16,3,7.08,4.54,0.73,1.0,0
3.16,4,9.46,4.37,1.42,1.0,0
3.16,5,8.47,4.47,1.44,1.0,0
3.16,6,8.01,3.46,1.48,1.0,0
3.16,7,7.95,5.62,1.32,1.0,0
3.16,8,7.82,2.89,1.29,1.0,0
3.16,9,5.21,3.12,1.33,1.0,0
3.16,10,5.66,5.94,1.1,1.0,0
3.16,11,8.02,4.35,1.19,1.0,0
3.69,0,11.11,4.62,1.5,1.0,0
3.69,1,7.53,4.36,0.0,1.0,0
3.69,2,7.87,3.92,0.0,1.0,0
3.69,3,7.08,4.54,0.0,1.0,0
3.69,4,10.2,4.4,1.42,1.0,0
3.69,5,9.21,4.29,1.44,1.0,0
3.69,6,8.01,3.46,1.48,1.0,0
3.69,7,7.95,5.62,1.32,1.0,0
3.69,8,7.82,2.89,1.29,1.0,0
3.69,9,5.21,3.12,1.33,1.0,0
3.69,10,5.66,5.94,1.1,1.0,0
3.69,11,8.02,4.35,1.19,1.0,0
4.22,0,11.9,4.62,1.5,1.0,0
4.22,1,7.53,4.36,0.0,1.0,0
4.22,2,7.87,3.92,0.0,1.0,0
4.22,3,7.08,4.34,0.37,1.0,0
4.22,4,10.95,4.39,1.42,1.0,0
4.22,5,9.97,4.26,1.44,1.0,0
4.22,6,7.81,3.42,0.19,1.0,0
4.22,7,7.57,5.21,0.53,1.0,0
4.22,8,7.27,3.38,0.7,1.0,0
4.22,9,5.88,3.45,0.71,1.0,0
4.22,10,6.27,5.68,0.63,1.0,0
4.22,11,8.71,4.3,0.66,1.0,0
4.22,12,8.02,4.9,1.02,1.0,0
4.22,13,6.55,5.15,1.57,1.0,0
4.22,14,5.83,5.39,1.38,1.0,0
4.22,15,6.33,3.57,1.36,1.0,0
4.74,1,8.17,4.32,1.2,1.0,0
4.74,2,7.68,4.26,0.37,1.0,0
4.74,3,7.23,4.23,0.37,1.0,0
4.74,4,11.69,4.43,1.42,1.0,0
4.74,5,10.72,4.35,1.44,1.0,0
4.74,6,7.67,3.79,0.76,1.0,0
4.74,7,7.57,5.21,0.0,1.0,0
4.74,8,7.28,3.57,0.35,1.0,0
4.74,9,6.3,4.07,1.43,1.0,0
4.74,10,6.93,5.78,1.26,1.0,0
4.74,11,9.4,4.15,1.33,1.0,0
4.74,12,8.02,4.9,1.02,1.0,0
4.74,13,6.55,5.15,1.57,1.0,0
4.74,14,5.83,5.39,1.38,1.0,0
4.74,15,6.33,3.57,1.36,1.0,0
5.27,1,8.79,4.44,1.2,1.0,0
5.27,2,7.68,4.26,0.0,1.0,0
5.27,3,7.29,4.04,0.37,1.0,0
5.27,4,11.97,4.68,0.71,1.0,0
5.27,5,11.48,4.39,1.44,1.0,0
5.27,6,8.19,4.4,1.52,1.0,0
5.27,7,7.75,5.27,0.35,1.0,0
5.27,8,7.77,3.82,1.05,1.0,0
5.27,9,6.95,4.46,1.43,1.0,0
5.27,10,7.41,5.64,0.95,1.0,0
5.27,11,10.08,4.31,1.33,1.0,0
5.27,12,8.02,4.9,0.0,1.0,0
5.27,13,6.46,4.53,0.6,1.0,0
5.27,14,6.4,5.51,0.55,1.0,0
5.27,15,6.5,3.64,0.18,1.0,0
5.27,16,5.5,3.3,1.2,1.0,0
5.27,17,5.33,5.53,0.95,1.0,0
5.27,18,7.12,4.91,1.2,1.0,0
5.27,19,8.01,5.82,1.46,1.0,0
5.27,20,7.14,3.04,1.44,1.0,0
5.8,1,9.63,4.53,1.6,1.0,0
5.8,2,7.68,4.26,0.0,1.0,0
5.8,3,7.29,4.04,0.0,1.0,0
5.8,5,11.91,4.02,1.08,1.0,0
5.8,6,8.78,4.5,1.14,1.0,0
5.8,7,7.75,5.27,0.0,1.0,0
5.8,8,8.25,4.38,1.4,1.0,0
5.8,9,6.95,4.46,0.0,1.0,0
5.8,10,7.52,5.76,0.32,1.0,0
5.8,11,10.77,4.25,1.33,1.0,0
5.8,12,8.02,4.9,0.0,1.0,0
5.8,13,6.78,3.99,1.19,1.0,0
5.8,14,7.16,5.45,1.46,1.0,0
5.8,15,7.25,3.49,1.45,1.0,0
5.8,16,5.5,3.3,1.2,1.0,0
5.8,17,5.33,5.53,0.95,1.0,0
5.8,18,7.12,4.91,1.2,1.0,0
5.8,19,8.01,5.82,1.46,1.0,0
5.8,20,7.14,3.04,1.44,1.0,0
6.32,1,10.43,4.77,1.6,1.0,0
6.32,2,7.86,4.17,0.37,1.0,0
6.32,3,7.47,4.38,0.73,1.0,0
6.32,6,9.57,4.35,1.52,1.0,0
6.32,7,7.75,5.27,0.0,1.0,0
6.32,8,8.98,4.48,1.4,1.0,0
6.32,9,6.95,4.46,0.0,1.0,0
6.32,10,7.52,5.76,0.0,1.0,0
6.32,11,11.47,4.31,1.33,1.0,0
6.32,12,8.45,4.42,1.21,1.0,0
6.32,13,6.99,3.97,0.4,1.0,0
6.32,14,7.3,5.31,0.36,1.0,0
6.32,15,7.25,3.49,0.0,1.0,0
6.32,16,6.15,3.57,0.67,1.0,0
6.32,17,5.88,5.25,0.58,1.0,0
6.32,18,7.82,4.82,0.67,1.0,0
6.32,19,8.01,5.82,0.0,1.0,0
6.32,20,7.14,3.04,0.0,1.0,0
6.32,21,8.02,3.46,1.49,1.0,0
6.32,22,5.2,3.93,1.61,1.0,0
6.32,23,8.01,2.95,1.34,1.0,0
6.85,1,11.27,4.92,1.6,1.0,0
6.85,2,7.86,4.17,0.37,1.0,0
6.85,3,7.47,4.38,0.0,1.0,0
6.85,6,10.37,4.33,1.52,1.0,0
6.85,7,7.75,5.27,0.0,1.0,0
6.85,8,9.68,4.69,1.4,1.0,0
6.85,9,6.95,4.46,0.0,1.0,0
6.85,10,6.87,5.63,1.26,1.0,0
6.85,11,11.97,4.15,1.0,1.0,0
6.85,12,9.06,4.24,1.21,1.0,0
6.85,13,7.19,4.0,0.4,1.0,0
6.85,14,7.22,4.94,0.73,1.0,0
6.85,15,7.25,3.49,0.0,1.0,0
6.85,16,6.73,3.96,1.34,1.0,0
6.85,17,6.23,4.76,1.15,1.0,0
6.85,18,8.47,4.55,1.33,1.0,0
6.85,19,7.82,5.84,0.38,1.0,0
6.85,20,7.14,3.04,0.0,1.0,0
6.85,21,8.02,3.46,1.49,1.0,0
6.85,22,5.2,3.93,1.61,1.0,0
6.85,23,8.01,2.95,1.34,1.0,0
7.38,1,12.11,4.92,1.6,1.0,0
7.38,2,8.03,4.26,0.19,1.0,0
7.38,3,7.85,4.82,1.1,1.0,0
7.38,6,11.16,4.47,1.52,1.0,0
7.38,7,7.75,5.27,0.0,1.0,0
7.38,8,10.4,4.85,1.4,1.0,0
7.38,9,7.51,4.48,1.07,1.0,0
7.38,10,6.87,5.63,1.26,1.0,0
7.38,12,9.69,4.14,1.21,1.0,0
7.38,13,7.19,4.0,0.0,1.0,0
7.38,14,6.88,4.75,0.73,1.0,0
7.38,15,7.68,3.87,1.08,1.0,0
7.38,16,6.73,3.96,0.0,1.0,0
7.38,17,6.43,4.73,0.38,1.0,0
7.38,18,9.15,4.74,1.33,1.0,0
7.38,19,7.82,5.84,0.0,1.0,0
7.38,20,7.14,3.04,0.0,1.0,0
7.38,21,7.84,3.38,0.19,1.0,0
7.38,22,5.83,4.02,0.6,1.0,0
7.38,23,8.01,2.95,0.0,1.0,0
7.9,2,8.58,4.47,1.12,1.0,0
7.9,3,7.85,4.82,0.0,1.0,0
7.9,6,11.94,4.28,1.52,1.0,0
7.9,7,7.75,5.27,0.0,1.0,0
7.9,8,11.13,4.73,1.4,1.0,0
7.9,9,7.86,4.35,0.71,1.0,0
7.9,10,6.87,5.63,0.0,1.0,0
7.9,12,9.69,4.14,1.21,1.0,0
7.9,13,7.36,4.39,0.79,1.0,0
7.9,14,6.88,4.75,0.0,1.0,0
7.9,15,7.68,3.87,0.0,1.0,0
7.9,16,7.08,3.96,0.67,1.0,0
7.9,17,6.63,4.37,0.77,1.0,0
7.9,18,9.84,4.88,1.33,1.0,0
7.9,19,7.63,5.76,0.38,1.0,0
7.9,20,6.96,3.13,0.37,1.0,0
7.9,21,7.84,3.38,0.0,1.0,0
7.9,22,6.45,3.91,1.21,1.0,0
7.9,23,7.45,3.04,1.07,1.0,0
8.43,2,9.13,4.24,1.12,1.0,0
8.43,3,8.56,4.53,1.46,1.0,0
8.43,7,7.78,4.9,0.71,1.0,0
8.43,8,11.86,4.62,1.4,1.0,0
8.43,9,8.04,4.39,0.36,1.0,0
8.43,10,7.46,5.33,1.26,1.0,0
8.43,12,10.32,4.09,0.6,1.0,0
8.43,13,7.55,4.48,0.4,1.0,0
8.43,14,6.89,5.13,0.73,1.0,0
8.43,15,7.85,3.94,0.36,1.0,0
8.43,16,7.16,4.12,0.33,1.0,0
8.43,17,6.63,4.37,0.77,1.0,0
8.43,18,10.53,4.74,1.33,1.0,0
8.43,19,7.63,5.76,0.0,1.0,0
8.43,20,6.96,3.13,0.0,1.0,0
8.43,21,7.84,3.38,0.0,1.0,0
8.43,22,6.45,3.91,0.0,1.0,0
8.43,23,7.45,3.04,0.0,1.0,0
8.96,2,9.71,4.31,1.12,1.0,0
8.96,3,9.31,4.7,1.46,1.0,0
8.96,7,7.78,4.9,0.0,1.0,0
8.96,8,12.03,4.68,0.35,1.0,0
8.96,9,8.79,4.34,1.43,1.0,0
8.96,10,7.46,5.33,0.0,1.0,0
8.96,12,10.95,4.0,1.21,1.0,0
8.96,13,8.18,4.47,1.19,1.0,0
8.96,14,6.89,5.13,0.0,1.0,0
8.96,15,7.88,4.13,0.36,1.0,0
8.96,16,7.33,4.09,0.33,1.0,0
8.96,17,6.87,4.05,0.38,1.0,0
8.96,18,11.23,4.79,1.33,1.0,0
8.96,19,7.63,5.76,0.0,1.0,0
8.96,20,6.96,3.13,0.0,1.0,0
8.96,21,7.91,3.57,0.38,1.0,0
8.96,22,7.06,4.5,1.61,1.0,0
8.96,23,7.82,3.1,0.72,1.0,0
9.48,2,9.71,4.31,1.12,1.0,0
9.48,3,10.07,4.77,1.46,1.0,0
9.48,7,7.78,4.9,0.0,1.0,0
9.48,9,9.45,4.7,1.43,1.0,0
9.48,10,7.79,5.34,0.63,1.0,0
9.48,12,11.58,4.09,1.21,1.0,0
9.48,13,8.8,4.42,1.19,1.0,0
9.48,14,6.87,4.94,0.36,1.0,0
9.48,15,8.29,4.53,1.08,1.0,0
9.48,16,7.86,4.04,1.0,1.0,0
9.48,17,7.28,4.07,0.77,1.0,0
9.48,18,11.93,4.72,1.33,1.0,0
9.48,19,6.9,5.44,1.51,1.0,0
9.48,20,6.96,3.52,0.75,1.0,0
9.48,21,7.91,3.57,0.0,1.0,0
9.48,22,7.48,4.55,0.8,1.0,0
9.48,23,7.82,3.1,0.0,1.0,0
10.01,2,10.29,4.19,0.56,1.0,0
10.01,3,10.84,4.86,1.46,1.0,0
10.01,7,7.78,4.9,0.0,1.0,0
10.01,9,10.2,4.74,1.43,1.0,0
10.01,10,7.79,5.34,0.0,1.0,0
10.01,12,12.03,4.26,0.91,1.0,0
10.01,13,9.57,4.07,1.59,1.0,0
10.01,14,6.98,4.57,0.73,1.0,0
10.01,15,8.86,4.48,1.08,1.0,0
10.01,16,8.38,4.52,1.34,1.0,0
10.01,17,7.88,4.12,1.15,1.0,0
10.01,19,6.9,5.44,0.0,1.0,0
10.01,20,7.49,3.77,1.12,1.0,0
10.01,21,7.91,3.57,0.0,1.0,0
10.01,22,7.48,4.55,0.0,1.0,0
10.01,23,7.82,3.1,0.0,1.0,0
10.54,2,10.85,3.99,1.12,1.0,0
10.54,3,11.6,4.73,1.46,1.0,0
10.54,7,7.78,4.9,0.0,1.0,0
10.54,9,10.94,4.89,1.43,1.0,0
10.54,10,7.79,5.34,0.0,1.0,0
10.54,13,10.4,4.08,1.59,1.0,0
10.54,14,6.98,4.57,0.0,1.0,0
10.54,15,9.61,4.59,1.45,1.0,0
10.54,16,8.38,4.52,1.34,1.0,0
10.54,17,7.88,4.12,0.0,1.0,0
10.54,19,6.84,5.25,0.38,1.0,0
10.54,20,7.49,3.77,0.0,1.0,0
10.54,21,7.91,3.57,0.0,1.0,0
10.54,22,7.38,4.36,0.4,1.0,0
10.54,23,7.82,3.1,0.0,1.0,0
11.06,2,11.42,4.15,1.12,1.0,0
11.06,3,11.9,4.49,0.73,1.0,0
11.06,7,7.78,4.9,0.0,1.0,0
11.06,9,11.49,4.8,1.07,1.0,0
11.06,10,7.79,5.34,0.0,1.0,0
11.06,13,10.82,4.12,0.79,1.0,0
11.06,14,6.98,4.57,0.0,1.0,0
11.06,15,10.32,4.89,1.45,1.0,0
11.06,16,9.08,4.6,0.67,1.0,0
11.06,17,8.46,4.31,1.15,1.0,0
11.06,19,6.91,5.06,0.38,1.0,0
11.06,20,7.93,4.43,1.5,1.0,0
11.06,21,7.85,3.97,0.77,1.0,0
11.06,22,7.12,4.03,0.8,1.0,0
11.06,23,7.87,3.48,0.72,1.0,0
11.59,2,11.98,3.96,1.12,1.0,0
11.59,7,7.48,4.43,0.53,1.0,0
11.59,9,11.49,4.8,1.07,1.0,0
11.59,10,7.79,5.34,0.0,1.0,0
11.59,13,11.45,4.11,1.19,1.0,0
11.59,14,6.98,4.57,0.0,1.0,0
11.59,15,11.06,4.72,1.45,1.0,0
11.59,16,9.78,4.68,1.34,1.0,0
11.59,17,8.46,4.31,1.15,1.0,0
11.59,19,7.5,4.96,1.14,1.0,0
11.59,20,7.93,4.43,0.0,1.0,0
11.59,21,7.85,3.97,0.0,1.0,0
11.59,22,6.99,3.62,0.8,1.0,0
11.59,23,7.87,3.48,0.0,1.0,0
12.12,7,7.48,4.43,0.0,1.0,0
12.12,9,12.03,4.97,0.53,1.0,0
12.12,10,7.79,5.34,0.0,1.0,0
12.12,13,12.07,4.16,1.19,1.0,0
12.12,14,6.91,4.39,0.36,1.0,0
12.12,15,11.51,4.11,1.45,1.0,0
12.12,16,10.48,4.56,1.34,1.0,0
12.12,17,9.07,4.26,0.58,1.0,0
12.12,19,7.89,4.89,0.76,1.0,0
12.12,20,8.52,4.48,1.12,1.0,0
12.12,21,7.98,4.35,0.77,1.0,0
12.12,22,6.99,3.62,0.0,1.0,0
12.12,23,7.97,3.84,0.72,1.0,0
12.65,7,7.48,4.43,0.0,1.0,0
12.65,10,7.79,5.34,0.0,1.0,0
12.65,14,6.91,4.39,0.0,1.0,0
12.65,15,12.07,4.0,1.08,1.0,0
