timeInSec,pedID,posX,posY,curVeloc,absLocalDensity,finalDest
1.05,0,4.75,4.58,1.44,1.0,0
1.05,1,8.01,5.97,1.6,1.0,0
1.05,2,4.96,7.15,0.9,1.0,0
1.05,3,2.71,7.17,1.38,1.0,0
1.05,4,3.71,6.48,1.32,1.0,0
1.05,5,4.55,6.75,1.35,1.0,0
1.05,6,8.01,7.08,1.48,1.0,0
1.05,7,7.08,2.96,1.32,1.0,0
1.05,8,6.83,6.76,1.29,1.0,0
1.05,9,5.26,2.71,1.33,1.0,0
1.05,10,2.8,3.83,1.1,1.0,0
1.05,11,8.02,3.53,1.19,1.0,0
1.05,12,3.64,2.41,1.02,1.0,0
1.05,13,8.0,2.38,1.57,1.0,0
1.05,14,6.57,7.15,1.38,1.0,0
1.05,15,7.01,4.8,1.36,1.0,0
1.05,16,2.61,6.19,1.2,1.0,0
1.05,17,4.06,7.11,0.95,1.0,0
1.05,18,3.51,1.97,1.2,1.0,0
1.05,19,4.34,3.74,1.46,1.0,0
1.05,20,3.45,7.03,1.44,1.0,0
1.05,21,7.54,3.73,1.49,1.0,0
1.05,22,2.72,4.43,1.61,1.0,0
1.05,23,7.2,7.06,1.34,1.0,0
1.58,0,4.75,4.58,1.44,1.0,0
1.58,1,8.01,5.97,1.6,1.0,0
1.58,2,4.96,7.15,0.9,1.0,0
1.58,3,2.71,7.17,1.38,1.0,0
1.58,4,3.71,6.48,1.32,1.0,0
1.58,5,4.55,6.75,1.35,1.0,0
1.58,6,8.01,7.08,1.48,1.0,0
1.58,7,7.08,2.96,1.32,1.0,0
1.58,8,6.83,6.76,1.29,1.0,0
1.58,9,5.26,2.71,1.33,1.0,0
1.58,10,2.8,3.83,1.1,1.0,0
1.58,11,8.02,3.53,1.19,1.0,0
1.58,12,3.64,2.41,1.02,1.0,0
1.58,13,8.0,2.38,1.57,1.0,0
1.58,14,6.57,7.15,1.38,1.0,0
1.58,15,7.01,4.8,1.36,1.0,0
1.58,16,2.61,6.19,1.2,1.0,0
1.58,17,4.06,7.11,0.95,1.0,0
1.58,18,3.51,1.97,1.2,1.0,0
1.58,19,4.34,3.74,1.46,1.0,0
1.58,20,3.45,7.03,1.44,1.0,0
1.58,21,7.54,3.73,1.49,1.0,0
1.58,22,2.72,4.43,1.61,1.0,0
1.58,23,7.2,7.06,1.34,1.0,0
2.11,0,5.54,4.51,0.75,1.0,0
2.11,1,7.86,5.14,0.8,1.0,0
2.11,2,5.44,6.8,0.56,1.0,0
2.11,3,3.11,6.52,0.73,1.0,0
2.11,4,4.16,5.88,0.71,1.0,0
2.11,5,5.11,6.23,0.72,1.0,0
2.11,6,7.73,6.33,0.76,1.0,0
2.11,7,7.09,3.7,0.71,1.0,0
2.11,8,6.76,6.02,0.7,1.0,0
2.11,9,5.89,3.12,0.71,1.0,0
2.11,10,3.47,3.81,0.63,1.0,0
