timeInSec,pedID,posX,posY,curVeloc,absLocalDensity,finalDest
1.05,0,5.19,5.58,1.44,1.0,0
1.05,1,6.06,4.97,1.6,1.0,0
1.05,2,8.96,6.68,0.9,1.0,0
1.05,3,4.99,6.44,1.38,1.0,0
1.05,4,8.68,4.51,1.32,1.0,0
1.05,5,7.08,3.73,1.35,1.0,0
1.05,6,5.47,3.69,1.48,1.0,0
1.05,7,6.13,6.17,1.32,1.0,0
1.05,8,8.37,3.39,1.29,1.0,0
1.05,9,9.19,3.57,1.33,1.0,0
1.05,10,7.25,5.06,1.1,1.0,0
1.05,11,5.65,7.28,1.19,1.0,0
1.05,12,6.25,3.62,1.02,1.0,0
1.05,13,7.63,7.26,1.57,1.0,0
1.05,14,5.68,4.7,1.38,1.0,0
1.05,15,9.33,5.76,1.36,1.0,0
1.05,16,5.55,3.19,1.2,1.0,0
1.05,17,9.55,7.0,0.95,1.0,0
1.58,0,5.19,5.58,1.44,1.0,0
1.58,1,6.06,4.97,1.6,1.0,0
1.58,2,8.96,6.68,0.9,1.0,0
1.58,3,4.99,6.44,1.38,1.0,0
1.58,4,8.68,4.51,1.32,1.0,0
1.58,5,7.08,3.73,1.35,1.0,0
1.58,6,5.47,3.69,1.48,1.0,0
1.58,7,6.13,6.17,1.32,1.0,0
1.58,8,8.37,3.39,1.29,1.0,0
1.58,9,9.19,3.57,1.33,1.0,0
1.58,10,7.25,5.06,1.1,1.0,0
1.58,11,5.65,7.28,1.19,1.0,0
1.58,12,6.25,3.62,1.02,1.0,0
1.58,13,7.63,7.26,1.57,1.0,0
1.58,14,5.68,4.7,1.38,1.0,0
1.58,15,9.33,5.76,1.36,1.0,0
1.58,16,5.55,3.19,1.2,1.0,0
1.58,17,9.55,7.0,0.95,1.0,0
2.11,0,5.97,5.69,0.75,1.0,0
2.11,1,6.84,5.29,0.8,1.0,0
2.11,2,8.99,6.09,0.56,1.0,0
2.11,3,5.74,6.6,0.73,1.0,0
2.11,4,9.31,4.91,0.71,1.0,0
2.11,5,7.74,4.1,0.72,1.0,0
2.11,6,6.12,4.16,0.76,1.0,0
2.11,7,6.86,6.31,0.71,1.0,0
2.11,8,8.65,4.07,0.7,1.0,0
2.11,9,9.6,4.19,0.71,1.0,0
2.11,10,7.92,5.09,0.63,1.0,0
2.11,11,6.35,7.25,0.66,1.0,0
2.11,12,6.85,3.85,0.6,1.0,0
2.11,13,8.3,6.76,0.79,1.0,0
2.11,14,6.44,4.81,0.73,1.0,0
2.11,15,9.94,5.3,0.72,1.0,0
2.11,16,6.25,3.28,0.67,1.0,0
2.11,17,9.58,6.4,0.58,1.0,0
2.63,0,6.55,5.8,1.12,1.0,0
2.63,1,7.64,5.55,1.6,1.0,0
2.63,2,9.22,5.54,1.12,1.0,0
2.63,3,6.2,6.25,1.1,1.0,0
2.63,4,9.68,4.95,0.71,1.0,0
2.63,5,8.37,4.53,1.44,1.0,0
2.63,6,6.89,4.39,1.52,1.0,0
2.63,7,7.55,6.03,1.42,1.0,0
