#explanation: coords of waypoint                != 0 implies veloc% = 0     coords of focus point
#csv-format:       x, y, z,      velocity %,   waiting time,                        x, y, z

#evaktisch_big2-80_edited has (x/z) min: 4.71/2.65, max: 17.21/7.94, center: 10.96/5.30

#x,y,z,v%,wt,x,y,z

10.96,  20,     5.30,       0,    0,      10.96,  0,  5.30 
0,      7,      0,          0,    1,      10.96,  0,  5.30
17.21,  2.65,   2.25,       0,    1,      4.71,   0,  5.30
13,     3,      8,          0,    1,      10.96,  1,  5.30
0,      10,     5.30,       0,    1,      10.96,  1,  5.30
9,      2.5,    2.65,       0.4,  0,      17.21,  0,  5.30
17.21,  2,      5.30,       0,    3,      4.71,   0,  5.30

#4.71,   4,  2.65,       0,      0,      4.71,   2,  5.30
#4.71,   4,  7.94,       0.3,    0,      17.21,  2,  5.30
#17.21,  8,  7.94,       0,      1,      10.96,  2,  5.30
#17.21,  4,  2.65,       0.3,    0,      10.96,  2,  5.30
#4.71,   4,  2.65,       0,      0,      17.21,  2,  5.30
