#explanation: coords of waypoint                != 0 implies veloc% = 0     coords of focus point
#csv-format:       x, y, z,      velocity %,   waiting time,                        x, y, z

0,    150,  300,      0,  0,      180,  0,  140
830,  100,  -30,      0,  0,      690,  0,  70
310,  15,   180,      0,  8,      292,  3,  168
128,  1,    214,      0,  1,      124,  0,  214
#240,  24,   114,      0,  0,      297,  0,  130 #zu krass der Schwenk
395,  20,   147,      0,  8,      355,  3,  131
238,  6,    74,       0,  6,      212,  1,  62
0,    150,  300,      0,  0,      180,  0,  140

#-194,  170, 425 ,          0, 0,    111,   10, 148
#835.2,  139.9,  -35.4,     0, 0,    596.1,   13.5, 98.5
#57.5,   67.7,   266.6,    0, 0,   162.1,   3,   181.5
#339,    52,     144.1,     0, 8,    218.4,   6.6,  143.5
#95.2,   3.6,  180.4,       0, 1,    112.1,   3.6,  216.3
#309.1,  13.4, 179.8,       0, 14,    279.3,   4,    159.5
#267.4,  15.5, 70.4,        0, 10,    206.3,   1.2,  48.6

#500.2,  139.9,  -35.4,     0, 0,    596.1,   13.5, 98.5
#339,    52,     144.1,     0, 0,    218.4,   6.6,  143.5
#309.1,  13.4, 179.8,       0, 0,    279.3,   4,    159.5
#267.4,  15.5, 70.4,        0, 0,    206.3,   1.2,  48.6
