timeInSec,pedID,posX,posY,curVeloc,absLocalDensity,finalDest
1.05,0,6.38,3.79,1.44,1.0,0
1.05,1,9.03,4.48,1.6,1.0,0
1.05,2,8.48,5.35,0.9,1.0,0
1.05,3,4.96,5.0,1.38,1.0,0
1.05,4,8.71,3.3,1.32,1.0,0
1.05,5,9.04,7.61,1.35,1.0,0
1.05,6,8.21,7.46,1.48,1.0,0
1.05,7,5.37,5.48,1.32,1.0,0
1.05,8,7.22,5.28,1.29,1.0,0
1.05,9,9.31,5.96,1.33,1.0,0
1.05,10,8.11,2.96,1.1,1.0,0
1.05,11,6.65,2.89,1.19,1.0,0
1.05,12,7.43,6.86,1.02,1.0,0
1.05,13,5.49,6.45,1.57,1.0,0
1.05,14,5.75,7.38,1.38,1.0,0
1.05,15,8.4,4.12,1.36,1.0,0
1.05,16,6.83,6.89,1.2,1.0,0
1.05,17,7.64,3.64,0.95,1.0,0
1.05,18,8.47,6.63,1.2,1.0,0
1.05,19,9.66,6.88,1.46,1.0,0
1.05,20,4.97,2.91,1.44,1.0,0
1.05,21,7.82,4.82,1.49,1.0,0
1.05,22,9.77,3.15,1.61,1.0,0
1.05,23,7.57,7.41,1.34,1.0,0
1.58,0,6.38,3.79,1.44,1.0,0
1.58,1,9.03,4.48,1.6,1.0,0
1.58,2,8.48,5.35,0.9,1.0,0
1.58,3,4.96,5.0,1.38,1.0,0
1.58,4,8.71,3.3,1.32,1.0,0
1.58,5,9.04,7.61,1.35,1.0,0
1.58,6,8.21,7.46,1.48,1.0,0
1.58,7,5.37,5.48,1.32,1.0,0
1.58,8,7.22,5.28,1.29,1.0,0
1.58,9,9.31,5.96,1.33,1.0,0
1.58,10,8.11,2.96,1.1,1.0,0
1.58,11,6.65,2.89,1.19,1.0,0
1.58,12,7.43,6.86,1.02,1.0,0
1.58,13,5.49,6.45,1.57,1.0,0
1.58,14,5.75,7.38,1.38,1.0,0
1.58,15,8.4,4.12,1.36,1.0,0
1.58,16,6.83,6.89,1.2,1.0,0
1.58,17,7.64,3.64,0.95,1.0,0
1.58,18,8.47,6.63,1.2,1.0,0
1.58,19,9.66,6.88,1.46,1.0,0
1.58,20,4.97,2.91,1.44,1.0,0
1.58,21,7.82,4.82,1.49,1.0,0
1.58,22,9.77,3.15,1.61,1.0,0
1.58,23,7.57,7.41,1.34,1.0,0
2.11,0,7.01,4.25,0.75,1.0,0
2.11,1,9.58,5.12,0.8,1.0,0
2.11,2,8.67,5.3,0.19,1.0,0
2.11,3,5.73,5.04,0.73,1.0,0
2.11,4,9.28,3.78,0.71,1.0,0
2.11,5,9.19,6.86,0.72,1.0,0
2.11,6,9.01,7.4,0.76,1.0,0
2.11,7,6.11,5.48,0.71,1.0,0
2.11,8,7.86,5.63,0.7,1.0,0
2.11,9,9.88,5.48,0.71,1.0,0
2.11,10,8.53,3.22,0.47,1.0,0
2.11,11,7.3,3.14,0.66,1.0,0
2.11,12,8.02,6.63,0.6,1.0,0
2.11,13,6.27,6.17,0.79,1.0,0
2.11,14,6.51,7.26,0.73,1.0,0
2.11,15,9.0,4.6,0.72,1.0,0
2.11,16,7.17,6.27,0.67,1.0,0
2.11,17,8.18,3.92,0.58,1.0,0
2.11,18,8.98,6.14,0.67,1.0,0
2.11,19,9.6,6.08,0.76,1.0,0
2.11,20,5.66,3.3,0.75,1.0,0
2.11,21,8.63,4.87,0.77,1.0,0
2.11,22,9.79,3.99,0.8,1.0,0
2.11,23,8.27,7.13,0.72,1.0,0
2.63,0,7.67,4.68,1.5,1.0,0
2.63,1,10.41,5.29,1.6,1.0,0
2.63,2,9.26,5.21,1.12,1.0,0
2.63,3,6.5,5.02,1.46,1.0,0
2.63,4,9.62,4.45,1.42,1.0,0
2.63,5,9.67,6.55,1.08,1.0,0
2.63,6,9.5,7.06,1.14,1.0,0
2.63,7,6.84,5.33,1.42,1.0,0
2.63,8,8.57,5.43,1.4,1.0,0
2.63,9,9.87,5.29,0.36,1.0,0
2.63,10,9.06,3.63,1.26,1.0,0
2.63,11,7.93,3.46,1.33,1.0,0
2.63,12,8.57,6.3,1.21,1.0,0
2.63,13,6.82,5.87,1.19,1.0,0
2.63,14,7.19,6.9,1.46,1.0,0
2.63,15,9.14,4.73,0.36,1.0,0
2.63,16,7.78,5.93,1.34,1.0,0
2.63,17,8.5,4.43,1.15,1.0,0
2.63,18,9.26,5.69,1.0,1.0,0
2.63,19,9.7,5.92,0.38,1.0,0
2.63,20,6.41,3.55,1.5,1.0,0
2.63,21,8.63,4.87,0.0,1.0,0
2.63,22,9.79,3.99,0.0,1.0,0
2.63,23,8.87,6.67,1.43,1.0,0
3.16,0,8.12,5.33,1.5,1.0,0
3.16,1,11.24,5.4,1.6,1.0,0
3.16,2,9.26,5.21,0.0,1.0,0
3.16,3,7.26,4.94,1.46,1.0,0
3.16,4,9.61,4.82,0.71,1.0,0
3.16,5,9.7,6.36,0.36,1.0,0
3.16,6,9.55,6.87,0.38,1.0,0
3.16,7,7.59,5.29,1.42,1.0,0
3.16,8,8.75,5.45,0.35,1.0,0
3.16,9,10.04,5.21,0.36,1.0,0
3.16,10,9.27,4.26,1.26,1.0,0
3.16,11,8.18,4.11,1.33,1.0,0
3.16,12,8.82,5.89,0.91,1.0,0
3.16,13,7.39,6.13,1.19,1.0,0
3.16,14,7.95,6.8,1.46,1.0,0
3.16,15,9.14,4.73,0.0,1.0,0
3.16,16,8.29,5.79,1.0,1.0,0
3.16,17,8.5,4.43,0.0,1.0,0
3.16,18,9.26,5.69,0.0,1.0,0
3.16,19,9.7,5.92,0.0,1.0,0
3.16,20,7.11,3.91,1.5,1.0,0
3.16,21,8.63,4.87,0.0,1.0,0
3.16,22,9.73,4.2,0.4,1.0,0
3.16,23,9.22,6.22,1.07,1.0,0
3.69,0,8.12,5.33,0.0,1.0,0
3.69,1,12.08,5.48,1.6,1.0,0
3.69,2,9.26,5.21,0.0,1.0,0
3.69,3,8.03,4.87,1.46,1.0,0
3.69,4,9.61,4.82,0.0,1.0,0
3.69,5,9.7,6.36,0.0,1.0,0
3.69,6,9.55,6.87,0.0,1.0,0
3.69,7,7.59,5.29,0.0,1.0,0
3.69,8,8.75,5.45,0.0,1.0,0
3.69,9,10.79,5.15,1.43,1.0,0
3.69,10,9.27,4.26,0.0,1.0,0
3.69,11,8.18,4.11,0.0,1.0,0
3.69,12,8.82,5.89,0.0,1.0,0
3.69,13,8.19,6.37,1.59,1.0,0
3.69,14,8.7,6.64,1.46,1.0,0
3.69,15,9.14,4.73,0.0,1.0,0
3.69,16,8.29,5.79,0.0,1.0,0
3.69,17,8.87,3.95,1.15,1.0,0
3.69,18,9.86,5.33,1.33,1.0,0
3.69,19,9.7,5.92,0.0,1.0,0
3.69,20,7.74,4.39,1.5,1.0,0
3.69,21,8.63,4.87,0.0,1.0,0
3.69,22,9.73,4.2,0.0,1.0,0
3.69,23,9.26,5.66,1.07,1.0,0
4.22,0,8.32,5.3,0.37,1.0,0
4.22,1,12.93,5.5,1.6,1.0,0
4.22,2,9.26,5.21,0.0,1.0,0
4.22,3,8.63,4.39,1.46,1.0,0
4.22,4,9.61,4.82,0.0,1.0,0
4.22,5,9.7,6.36,0.0,1.0,0
4.22,6,9.55,6.87,0.0,1.0,0
4.22,7,7.77,5.35,0.35,1.0,0
4.22,8,8.75,5.45,0.0,1.0,0
4.22,9,11.54,5.17,1.43,1.0,0
4.22,10,9.46,3.8,0.95,1.0,0
4.22,11,8.18,4.64,1.0,1.0,0
4.22,12,9.16,6.23,0.91,1.0,0
4.22,13,8.64,7.08,1.59,1.0,0
4.22,14,9.08,6.67,0.73,1.0,0
4.22,15,9.14,4.73,0.0,1.0,0
4.22,16,8.78,5.99,1.0,1.0,0
4.22,17,8.87,3.95,1.15,1.0,0
